Associate ID,Email triggered date
143194,10-Dec-21
143200,19-Oct-21
143247,18-Jan-21
143270,05-Aug-21
143312,16-Apr-21
143321,04-Mar-22
143337,03-Aug-21
143457,04-May-21
143473,04-Mar-22
143675,17-Nov-21
143724,17-Aug-21
143789,29-Oct-21
143792,20-Oct-21
143882,07-Apr-22
143949,20-Apr-22
144015,26-May-21
144067,14-Jul-21
144084,29-Nov-21
144128,22-Oct-21
144139,05-Jan-22
144178,01-Jun-21
144271,03-Mar-21
144279,07-Mar-22
144352,02-Mar-21
144373,03-Nov-21
144375,03-Jan-22
144509,02-Nov-21
144565,20-Jan-22
144603,04-Apr-22
144611,18-Jan-22
144617,15-Nov-21
144644,01-Apr-22
144679,25-Mar-21
144682,25-Mar-21
144690,15-Mar-22
144718,09-Aug-21
144722,19-Jan-21
144732,05-Nov-21
144733,14-Jul-21
144756,30-Apr-21
144760,03-Mar-22
144776,17-Jan-22
144850,14-May-21
144871,26-May-21
144915,10-Nov-21
144945,23-Dec-21
145021,23-Mar-22
145139,27-Jul-21
145174,17-Nov-21
145206,19-Jan-21
145214,03-Feb-21
145219,27-Jul-21
145272,04-Jan-22
145318,11-Jun-21
145414,01-Sep-21
145481,25-Feb-21
145502,24-Jan-22
145649,08-Feb-21
145654,13-Apr-22
145662,22-Dec-21
145776,11-Apr-22
145914,08-Mar-21
145925,05-May-21
146064,28-Jul-21
146069,16-Apr-21
146073,27-Jul-21
146098,24-Sep-21
146126,25-Oct-21
146162,16-Mar-22
146186,15-Jan-21
146225,19-May-21
146283,08-Apr-22
146316,26-Jul-21
146376,16-Mar-21
146396,04-Oct-21
146466,20-Apr-21
146560,05-Apr-22
146570,18-Nov-21
146574,15-Apr-21
146582,11-Aug-21
146591,08-Sep-21
146624,26-Jul-21
146637,16-Feb-21
146669,17-Dec-21
146725,12-Feb-21
146751,27-Aug-21
146759,11-Jan-22
146789,29-Apr-21
146800,03-Sep-21
146801,15-Mar-22
146816,30-Sep-21
146821,31-May-21
146910,16-Apr-21
146955,28-Feb-22
147187,26-May-21
147198,30-Jul-21
147209,13-Apr-22
147333,10-Mar-22
147372,04-Aug-21
147436,18-Jan-22
147465,06-Dec-21
147542,13-Oct-21
147584,21-Apr-22
147626,25-Apr-22
147629,21-Dec-21
147704,02-Mar-22
147726,04-Jan-22
147737,14-Jun-21
147789,24-Jan-22
147812,11-Jun-21
147857,23-Aug-21
147881,04-Aug-21
147890,13-Apr-21
147944,03-Sep-21
147964,14-Dec-21
147977,29-Oct-21
148023,10-Nov-21
148065,04-Jan-22
148107,31-Aug-21
148177,23-Mar-22
148186,31-Mar-21
148228,09-Apr-21
148249,19-Aug-21
148298,29-Jul-21
148328,24-Aug-21
148345,14-Mar-22
148458,04-Jun-21
148559,12-May-21
148641,02-Mar-22
148713,22-Oct-21
148765,21-Jul-21
148776,05-Jan-22
148787,12-May-21
148797,16-Mar-22
148803,15-Jan-21
148856,05-Nov-21
148877,02-Jun-21
149008,22-Feb-22
149098,30-Sep-21
149099,25-May-21
149187,02-Aug-21
149204,16-Apr-21
149242,19-Jul-21
149272,01-Oct-21
149289,04-Oct-21
149317,19-May-21
149325,24-Dec-21
149390,06-Aug-21
149441,01-Mar-22
149470,21-Jul-21
149481,09-Nov-21
149523,07-Jul-21
149587,11-Feb-22
149606,09-Dec-21
149710,08-Jan-21
149765,28-Dec-21
149793,02-Mar-22
149810,11-Aug-21
149817,21-Mar-22
149832,02-Feb-21
149850,24-Mar-22
149992,27-Apr-21
149997,25-May-21
149998,21-Jul-21
150025,02-Feb-21
150083,05-Jul-21
150097,25-Apr-22
150105,12-Apr-21
150107,22-Nov-21
150111,04-Jan-22
150130,25-Nov-21
150149,02-Aug-21
150151,13-Jan-21
150170,24-May-21
150202,31-Mar-21
150328,30-Jun-21
150336,01-Jun-21
150370,24-Mar-22
150374,22-Jun-21
150416,25-Apr-22
150417,28-Oct-21
150436,29-Sep-21
150508,11-Apr-22
150572,01-Jul-21
150587,05-Aug-21
150589,21-May-21
150617,24-Mar-21
150630,02-Jun-21
150656,18-Mar-22
150684,03-Nov-21
150705,26-May-21
150746,05-Jan-22
150761,02-Mar-21
150770,22-Jun-21
150872,21-Mar-22
150899,11-Aug-21
150905,30-Sep-21
150957,01-Feb-21
150982,20-Oct-21
151078,26-Aug-21
151154,15-Apr-21
151171,25-May-21
151174,30-Nov-21
151180,19-Jan-21
151347,07-Jan-21
151354,25-Aug-21
151363,27-Apr-21
151415,28-Jul-21
151429,05-Jul-21
151437,16-Jun-21
151515,21-Feb-22
151518,22-Feb-22
151593,25-Feb-22
151606,07-Mar-22
151632,20-May-21
151680,28-Mar-22
151742,19-Feb-21
151820,01-Nov-21
151824,12-Nov-21
151829,18-Jan-21
151853,26-May-21
151859,12-Oct-21
151861,11-Apr-22
151871,20-Sep-21
151875,06-Aug-21
151879,18-Aug-21
151925,22-Apr-22
151935,21-Apr-21
151945,20-Jul-21
151979,22-Sep-21
151980,19-Jan-21
152003,07-Feb-22
152012,01-Dec-21
152042,22-Apr-21
152085,22-Feb-21
152143,12-Mar-21
152151,10-Mar-22
152166,02-Sep-21
152178,21-May-21
152186,22-Nov-21
152187,28-Jul-21
152194,10-Nov-21
152217,11-Jan-21
152231,03-Sep-21
152243,16-Mar-22
152256,03-Feb-21
152281,13-Apr-21
152347,09-Sep-21
152350,02-Nov-21
152359,21-Jul-21
152361,20-May-21
152450,31-Aug-21
152493,10-Jan-22
152497,30-Nov-21
152536,01-Apr-22
152554,22-Jul-21
152555,27-Aug-21
152558,22-Feb-22
152606,09-Nov-21
152626,03-Aug-21
152635,10-May-21
152676,06-Sep-21
152759,21-Jul-21
152760,26-May-21
152813,14-Oct-21
152834,29-Apr-21
152843,17-May-21
152858,23-Jul-21
152862,11-Mar-22
152886,08-Apr-22
152896,24-Aug-21
152942,05-Oct-21
152964,23-Mar-21
153009,29-Nov-21
153035,10-May-21
153059,03-Feb-22
153070,29-Sep-21
153078,02-Nov-21
153131,15-Feb-21
153141,02-Mar-22
153152,23-Jun-21
153176,28-Dec-21
153181,10-Feb-22
153200,09-Feb-22
153307,02-Mar-21
153397,22-Nov-21
153445,14-Dec-21
153458,03-Jan-22
153459,12-Jan-22
153468,28-Dec-21
153484,12-May-21
153510,07-Jun-21
153533,15-Jan-21
153583,27-Oct-21
153636,29-Jun-21
153702,28-Oct-21
153720,10-Feb-22
153727,04-Jan-22
153739,08-Jun-21
153770,13-Jan-21
153779,10-Jun-21
153889,25-Jun-21
153890,29-Mar-21
153910,13-Apr-22
154118,06-Apr-22
154173,19-Jan-21
154183,28-Jun-21
154238,19-Jul-21
